"","ID","HomeCountry","relationship","guidance","social","collaboration","funding","benefits","publications","teaching","careersupport","Academia","DeltaA","PrepR","PrepNR","Age","Gender","Caucasian","Latino/Hispanic","Middle Eastern","African","South Asian","East Asian","OtherEth","Africa","Aisa (including Middle East)","Australasia","Europe","North or Central America","South America","PhDReason","HoursWorked","HoursMeeting","Anxiety","Bullying","Discrimination","Caring"
"2",2,0,6,4,4,5,6,0,6,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
"4",4,0,5,4,4,3,0,4,1,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"11",11,0,4,4,6,5,3,6,4,3,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"12",12,0,5,5,2,4,4,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"17",17,0,3,0,0,0,2,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"18",18,0,5,5,6,6,0,6,6,6,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1
"19",19,0,6,6,3,0,5,3,5,6,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
"24",24,0,3,5,2,5,1,3,NA,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"27",27,0,5,5,3,5,3,3,5,NA,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"29",29,0,6,6,4,5,4,6,5,2,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"33",33,0,6,3,0,6,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
"34",34,0,5,5,3,4,5,3,2,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"35",35,0,4,3,3,3,6,1,1,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"37",37,0,6,3,6,6,6,0,0,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"39",39,0,3,4,4,4,3,2,3,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"40",40,0,6,3,2,5,3,5,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"41",41,0,5,4,3,5,4,5,5,6,5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"43",43,0,5,6,3,4,4,0,3,3,4,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"47",47,0,5,5,2,3,5,4,3,4,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0
"48",48,0,2,1,5,2,4,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"51",51,0,2,1,5,2,3,3,0,NA,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"57",57,0,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"58",58,0,3,3,3,3,6,3,6,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
"60",60,0,3,3,3,3,6,2,NA,5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"61",61,0,6,6,0,4,0,0,4,4,6,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1
"63",63,0,5,6,4,4,6,4,0,4,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"64",64,0,6,6,0,3,6,0,6,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"66",66,0,4,2,2,3,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"68",68,0,5,1,5,1,0,3,6,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
"70",70,0,2,1,1,4,6,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"73",73,0,6,NA,6,6,NA,6,5,5,6,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"78",78,0,6,1,6,1,1,6,2,6,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"79",79,0,6,6,5,2,6,6,3,3,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"80",80,0,4,4,2,5,5,3,2,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"83",83,0,5,4,5,5,5,4,3,NA,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
"87",87,0,6,6,6,6,3,6,4,3,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
"88",88,0,6,6,2,5,5,6,4,NA,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"89",89,0,4,5,6,4,3,5,5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"90",90,0,2,4,5,0,5,5,1,NA,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
"91",91,0,5,3,3,4,4,6,4,4,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"95",95,0,6,4,4,3,2,3,0,4,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"96",96,0,2,1,1,3,4,0,3,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
"98",98,0,2,3,3,3,2,3,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0
"100",100,0,2,1,4,2,4,6,3,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"102",102,0,5,2,0,3,3,4,0,4,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"103",103,0,1,3,6,1,4,5,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"104",104,0,4,3,4,3,6,6,4,NA,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"106",106,0,1,4,2,2,1,0,2,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"109",109,0,4,NA,3,1,6,5,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0
"110",110,0,4,5,3,2,3,2,3,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"111",111,0,6,6,6,3,NA,1,5,5,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
"112",112,0,6,5,6,5,5,4,5,4,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
"113",113,0,0,4,1,2,NA,3,3,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"115",115,0,5,4,6,4,2,3,0,3,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"117",117,0,5,5,6,5,3,3,5,NA,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"119",119,0,0,0,3,3,3,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0
"120",120,0,6,6,6,6,3,4,3,5,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"121",121,0,0,NA,5,4,4,3,5,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0
"123",123,0,3,2,2,5,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"124",124,0,1,2,4,4,2,5,4,NA,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
"127",127,0,6,5,6,5,5,5,2,5,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"134",134,0,6,2,4,5,5,3,3,3,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
