relationship,guidance,social,collaboration,funding,benefits,publications,teaching,careersupport,Age,Gender,LatinoHispanic,MiddleEastern,African,SouthAsian,EastAsian,OtherEth,Africa,Asia,Australasia,NorthCentralAmerica,SouthAmerica,PhDReason,HoursWorked,HoursMeeting,Anxiety,Bullying,Discrimination,Caring,Class1,Class2,Class3,Class4,Class5,Class6,Class,ID
6,4,4,5,6,0,6,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,.592,0,.408,4,2
5,4,4,3,0,4,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,.01,.028,.962,0,.001,4,4
4,4,6,5,3,6,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.287,0,.367,0,.347,4,11
5,5,2,4,4,2,3,2,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,.004,0,.851,0,.145,4,12
3,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,.07,0,.93,0,0,0,3,17
5,5,6,6,0,6,6,6,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,.014,0,.986,6,18
6,6,3,0,5,3,5,6,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,.924,0,.076,4,19
3,5,2,5,1,3, ,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,.84,.013,.147,0,0,2,24
5,5,3,5,3,3,5, ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.002,0,.421,0,.577,6,27
6,6,4,5,4,6,5,2,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,.046,0,.954,6,29
6,3,0,6,3,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,.993,0,.006,4,33
5,5,3,4,5,3,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,.007,0,.924,0,.069,4,34
4,3,3,3,6,1,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,.443,.112,.444,0,.001,4,35
6,3,6,6,6,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,.001,.997,0,.003,4,37
3,4,4,4,3,2,3,4,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.934,.002,.063,0,.001,2,39
6,3,2,5,3,5,3,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.001,0,.911,0,.088,4,40
5,4,3,5,4,5,5,6,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,.001,0,.037,0,.962,6,41
5,6,3,4,4,0,3,3,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.001,0,.904,0,.094,4,43
5,5,2,3,5,4,3,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,.012,0,.947,0,.04,4,47
2,1,5,2,4,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,.032,.024,.083,0,.861,0,5,48
2,1,5,2,3,3,0, ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,.025,.031,.062,0,.882,0,5,51
3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.961,.016,.022,.002,0,2,57
3,3,3,3,6,3,6,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,.987,.001,.012,0,0,2,58
3,3,3,3,6,2, ,5,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,.98,.001,.017,.001,.001,2,60
6,6,0,4,0,0,4,4,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,.796,0,.204,4,61
5,6,4,4,6,4,0,4,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.001,0,.278,0,.72,6,63
6,6,0,3,6,0,6,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,.837,0,.163,4,64
4,2,2,3,0,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.01,.979,.011,0,0,3,66
5,1,5,1,0,3,6, ,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,.044,.609,.347,0,0,3,68
2,1,1,4,6,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.037,.125,.086,0,.752,0,5,70
