"","ID","Q25.a","Q25.x"
"119",119,"Once per semester",0
"121",121,"1h/mois",0
"165",165,"once in two weeks",0
"197",197,"15 minutes",0
"206",206,"one per month",0
"207",207,"Randomly, can't get an average number.",0
"228",228,"One hour fortnightly",0
"265",265,"1hr in week",1
"315",315,"we hardly meet",0
"325",325,"Approx. 3-4 hours per year",0
"327",327,"I meet my supervisor depending on the problem. I dont meet him every week as I have my independent project. However, if I am struck at a place, I can always go to him for discussions.",0
"332",332,"menos de 30 min",0
"384",384,"We meet every 3/4 weeks, some periods less often than that",0
"405",405,"1h/month",0
"513",513,"An hour per semester",0
"525",525,"I don’t have a supervisor yet (rotation program)",0
"612",612,"2-3 hours research group meeting",0
"630",630,"Since we are not in the same place (or even the same country), we meet over Skype one to a couple of times a week (on average 1-3 hours each week).",1
"632",632,"5 minutes every week",0
"657",657,"we can say less than one hour each month",0
"711",711,"Once a month",0
"738",738,"One hour a month (he travels)",0
"789",789,"1-2 hours every day or so",1
"805",805,"1 hora quincenal o el tiempo requerido para aclarar lo pendiente, pero estamos en contacto por mail cuando necesito su asesoría. Es un excelente supervisor.",1
"825",825,"Almost no time - he doesn’t really work with me and I feel lost",0
"832",832,"I talk to my supervisor once a fortnight for an hour or so on skype. We have regular email correspondence.",0
"837",837,"We get to see and discuss once in a while. We mostly talk on phone and email",0
"871",871,"they are always available to me when I need them to be, and this depends on the stage of the research project I'm working on",1
"899",899,"10 minutes",0
"909",909,"My supervisor was extremely busy. We hardly get a chance to meet him in a semester. He used to be available for guidance only during vacations.",0
"913",913,"1 time per 2-3 months",0
"953",953,"He travels a lot for meetings. etc, so probably less than 15 mins/week averaged over the last 5 years.",0
"1016",1016,"We do not have regular one-on-one meetings. Although hard to estimate, our contact is less than 10 hours yearly.",0
"1203",1203,"less than 30 min",0
"1212",1212,"fairly 5 hours per year",0
"1238",1238,"hour/month",0
"1280",1280,"20minutes maximum",0
"1290",1290,"about an hour per 3 months",0
"1473",1473,"____",0
"1708",1708,"we do not meet each week, more like once in two months",0
"1739",1739,"Maybe an hour a month",0
"1740",1740,"One hour in a few months",0
"1859",1859,"As mentioned earlier, I am ambiguous about this answer. Maybe less than 5 minutes.",0
"1931",1931,"less than 10 minutes. :(",0
"1975",1975,"_______",0
"2005",2005,"_____, ______",0
"2044",2044,"0",0
"2081",2081,"A ultima conversa que tivemos sobre a minha pesquisa - porque sempre que tento aborda-lo, ele nao tem tempo ou nao responde meus e-mails - foi no processo seletivo do meu Doutorado, ou seja, quase 2 anos atras.",0
"2087",2087,"Once in quarter",0
"2174",2174,"As a group, we spend at least 1.5hrs with him discussing research everyday. Hence, nne on one meeting are less frequent, maybe once in a month, but one can walk in and ask for a meeting whenever.",0
"2265",2265,"Postdoc that actually teaches me: anytime; Prof.: less than an hour.",0
"2285",2285,"A maximum of two hours a year",0
"2296",2296,"once a month",0
"2316",2316,"every 2 3 weeks",0
"2360",2360,"I meet with the PI of my lab once per year.... I meet my supervisor (Post doc every month)",0
"2371",2371,"once in a month for 3,4 hours",0
"2433",2433,"regularly, but about food, dressing, habits, other irrelevant things to research, as immobile PIs in western world think eastern world people are still living in forests",0
"2468",2468,"one hour every one or two months",0
"2529",2529,"Very irregularly",0
"2557",2557,"one hour per month",0
"2569",2569,"I'm an off campus student. Mostly communicate via emails when urgent. Skype maybe 1 every 2 months.",0
"2621",2621,"Around once per month",0
"2648",2648,"I meet with my supervisor on average 4 times a year (max)",0
"2694",2694,"5 min",0
"2728",2728,"A quick talk between dors every other week if at all",0
"2739",2739,"One hour a month",0
"2815",2815,"0",0
"2957",2957,"Less than one hour per month",0
"2973",2973,"Menos de una hora por mes",0
"2974",2974,"Once per month",0
"2977",2977,"As little as possible! 1-2h",1
"2985",2985,"Not much one-on-one contact time.",0
"3012",3012,"Once a month",0
"3025",3025,"Dependent on project but sometimes would only meet once a month or less.",0
